Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price,Day,Week,Quarter,DayOfWeek
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2021-07-07,2021,7,Kharif,425.74,31.11,33.28,31.7,7,27,3,2
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2024-10-29,2024,10,Rabi,339.42,2147.08,2353.16,2250.39,29,44,4,1
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2022-12-08,2022,12,Rabi,444.79,127.01,135.31,130.73,8,49,4,3
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-10-03,2023,10,Rabi,915.76,38.34,41.3,39.48,3,40,4,1
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2023-01-03,2023,1,Rabi,520.04,51.98,54.6,53.13,3,1,1,1
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2024-03-17,2024,3,Rabi,362.72,23.48,25.82,24.71,17,11,1,6
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2025-08-21,2025,8,Kharif,381.23,6508.86,7225.35,6866.66,21,34,3,3
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2025-08-26,2025,8,Kharif,559.5,204.35,233.25,218.59,26,35,3,1
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-02-23,2020,2,Rabi,730.39,24.2,25.49,24.87,23,8,1,6
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-11-07,2024,11,Rabi,200.85,57.15,61.47,59.3,7,45,4,3
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-10-06,2022,10,Rabi,192.91,38.02,42.45,40.03,6,40,4,3
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-04-13,2021,4,Zaid,909.15,2429.96,2593.16,2511.42,13,15,2,1
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-03-31,2023,3,Rabi,725.73,19.35,21.0,20.03,31,13,1,4
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2021-05-10,2021,5,Zaid,728.72,221.44,243.45,232.58,10,19,2,0
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2022-12-28,2022,12,Rabi,832.55,43.96,48.55,46.06,28,52,4,2
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2022-06-03,2022,6,Kharif,562.87,1776.77,1906.15,1841.67,3,22,2,4
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2021-08-12,2021,8,Kharif,866.63,2226.41,2462.7,2344.16,12,32,3,3
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2023-12-15,2023,12,Rabi,646.23,2185.16,2513.1,2349.18,15,50,4,4
Banana,Fruit,Dozen,West Bengal,Hooghly,Arambagh,2022-04-23,2022,4,Zaid,577.95,99.26,102.13,100.71,23,16,2,5
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-10-27,2020,10,Rabi,663.95,33.29,36.45,34.63,27,44,4,1
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2025-04-12,2025,4,Zaid,226.12,207.14,215.55,211.32,12,15,2,5
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2021-06-29,2021,6,Kharif,868.94,8108.43,8348.85,8228.91,29,26,2,1
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-07-24,2022,7,Kharif,874.32,20.54,22.54,21.48,24,29,3,6
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-12-08,2023,12,Rabi,563.5,50.07,53.48,52.19,8,49,4,4
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,2023-02-19,2023,2,Rabi,388.67,4228.2,4644.5,4436.64,19,7,1,6
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2024-08-10,2024,8,Kharif,452.07,36.05,40.17,37.73,10,32,3,5
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2024-05-30,2024,5,Zaid,805.28,73.81,82.77,78.05,30,22,2,3
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2023-10-30,2023,10,Rabi,693.42,49.87,56.7,53.66,30,44,4,0
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2021-06-10,2021,6,Kharif,317.87,28.21,32.09,30.56,10,23,2,3
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-03-26,2020,3,Rabi,625.27,2493.05,2781.95,2637.48,26,13,1,3
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2023-08-22,2023,8,Kharif,321.71,167.02,175.83,171.14,22,34,3,1
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2021-08-14,2021,8,Kharif,688.82,160.14,168.83,164.08,14,32,3,5
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2025-12-15,2025,12,Rabi,330.18,5900.57,6458.94,6179.82,15,51,4,0
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-05-31,2022,5,Zaid,425.31,42.76,47.22,44.95,31,22,2,1
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2021-04-13,2021,4,Zaid,822.22,7997.24,8569.03,8282.78,13,15,2,1
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-05-23,2025,5,Zaid,324.29,9.69,11.11,10.62,23,21,2,4
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-06-01,2025,6,Kharif,173.66,2389.0,2668.01,2528.8,1,22,2,6
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2024-05-15,2024,5,Zaid,280.68,56.9,60.39,58.43,15,20,2,2
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2025-03-13,2025,3,Rabi,45.61,30.84,33.6,32.6,13,11,1,3
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2023-04-14,2023,4,Zaid,229.1,143.86,156.04,149.62,14,15,2,4
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-09-28,2025,9,Kharif,858.42,2626.85,2936.31,2781.09,28,39,3,6
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,2025-09-01,2025,9,Kharif,685.42,4475.9,5016.98,4746.07,1,36,3,0
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2020-05-02,2020,5,Zaid,167.82,40.06,46.44,43.25,2,18,2,5
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2024-09-13,2024,9,Kharif,447.3,2648.08,2971.87,2809.79,13,37,3,4
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2025-05-09,2025,5,Zaid,515.35,6047.02,6590.64,6319.08,9,19,2,4
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-10-12,2020,10,Rabi,116.37,26.6,29.25,27.85,12,42,4,0
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-12-17,2024,12,Rabi,207.79,18.77,20.4,19.73,17,51,4,1
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,2022-11-26,2022,11,Rabi,642.47,8826.65,8951.18,8889.29,26,47,4,5
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-03-07,2020,3,Rabi,110.98,1963.02,2104.09,2033.6,7,10,1,5
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-03-04,2020,3,Rabi,453.19,2085.29,2248.96,2166.96,4,10,1,2
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-10-02,2020,10,Rabi,354.4,1933.54,2242.93,2088.44,2,40,4,4
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2024-08-21,2024,8,Kharif,111.66,39.84,42.85,41.84,21,34,3,2
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,2021-03-07,2021,3,Rabi,938.17,5475.45,5589.22,5532.73,7,9,1,6
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2023-03-01,2023,3,Rabi,886.8,5136.01,5223.09,5179.46,1,9,1,2
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-01-12,2025,1,Rabi,863.67,30.49,33.82,32.1,12,2,1,6
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2025-07-02,2025,7,Kharif,32.31,25.82,27.22,27.01,2,27,3,2
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2022-06-07,2022,6,Kharif,549.22,4891.51,5225.82,5058.83,7,23,2,1
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2022-12-07,2022,12,Rabi,653.71,32.45,35.76,33.72,7,49,4,2
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-12-25,2025,12,Rabi,256.84,1857.54,2045.55,1951.68,25,52,4,3
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-12-18,2023,12,Rabi,232.92,10.53,11.75,11.58,18,51,4,0
