Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price
Rice,Grain,Quintal,Karnataka,Mysuru,Mysuru,7/26/2024,2024,7,Kharif,542.96,2045.54,2344.34,2194.82
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,7/7/2021,2021,7,Kharif,425.74,31.11,33.28,31.7
Wheat,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,10/13/2020,2020,10,Rabi,640.44,1620.26,1724.05,1671.7
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,10/29/2024,2024,10,Rabi,339.42,2147.08,2353.16,2250.39
Milk,Dairy,Litre,Punjab,Ludhiana,Ludhiana,11/28/2025,2025,11,Rabi,620.92,49.19,53.31,51.64
Potato,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,11/2/2025,2025,11,Rabi,188.76,28.95,30.62,30.04
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,12/8/2022,2022,12,Rabi,444.79,127.01,135.31,130.73
Cabbage,Vegetable,Kg,Karnataka,Mysuru,Mysuru,2/13/2022,2022,2,Rabi,947.72,22.36,24.93,24.04
Potato,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,3/24/2023,2023,3,Rabi,469.94,37.05,42.19,39.35
Maize,Grain,Quintal,Maharashtra,Nagpur,Nagpur,12/25/2024,2024,12,Rabi,39.54,1890.93,1956.59,1923.72
Milk,Dairy,Litre,Karnataka,Belagavi,Belagavi,11/13/2024,2024,11,Rabi,677.56,55.23,59.02,57.14
Wheat,Grain,Quintal,Punjab,Ludhiana,Ludhiana,3/26/2024,2024,3,Rabi,264.16,1701.13,1853.53,1777.82
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,10/3/2023,2023,10,Rabi,915.76,38.34,41.3,39.48
Wheat,Grain,Quintal,Gujarat,Rajkot,Rajkot,3/4/2024,2024,3,Rabi,725,2372.03,2688.36,2530.32
Potato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,8/21/2021,2021,8,Kharif,362.69,35.27,38.75,37.35
Brinjal,Vegetable,Kg,Karnataka,Mysuru,Mysuru,11/14/2021,2021,11,Rabi,641.66,41.61,43.79,42.34
Tomato,Vegetable,Kg,Punjab,Amritsar,Amritsar,5/29/2023,2023,5,Zaid,500.66,26.52,28.99,27.58
Brinjal,Vegetable,Kg,Maharashtra,Pune,Pune,8/10/2025,2025,8,Kharif,106.36,17.58,19.43,18.58
Brinjal,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,8/12/2023,2023,8,Kharif,489.77,23.71,25.6,25.11
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,1/3/2023,2023,1,Rabi,520.04,51.98,54.6,53.13
Milk,Dairy,Litre,Uttar Pradesh,Kanpur,Kanpur,6/5/2025,2025,6,Kharif,790.25,47.96,50.26,49.32
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,6/9/2024,2024,6,Kharif,25.54,206.73,238.07,222.51
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,11/7/2023,2023,11,Rabi,356.51,57.43,59.12,58.64
Banana,Fruit,Dozen,Punjab,Amritsar,Amritsar,1/9/2024,2024,1,Rabi,947.27,43.87,49,46.13
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,3/17/2024,2024,3,Rabi,362.72,23.48,25.82,24.71
